CDS Code,[Lookup] District Master,County,District Name,District Type,Grade Levels,Student Enrollment (2024-25),Number of Schools (2024-25),County Superintendent (CCESSA) Region,Locale Classifications,Percent of Republican Votes (2020),Percent of Democratic Votes (2020),Overall Political Leaning (2020),Percent of Republican Votes (2024),Percent of Democratic Votes (2024),Overall Political Leaning (2024),Mean Income of Population in District Area,Median Income of Population in District Area,Student to Teacher Ratio,Average Chronic Absenteeism Rate,Expense per ADA (2022-23),Number of Title I Schools (2023-24),Average Pollution Burden Percentile,Percent English Learners (2024-25),Percent Unduplicated Students (2024-25),Percent of Students Receiving FRM (2024-25),Funding sources for sustainability efforts identified in LCAP,LCAP Funding Status,LCAP Direct Funding Total,LCAP Lumped Funding Total,Description of Funding,Environmental Vision or Goals Identified in LCAP,Description of vision or goals in LCAP (from [Lookup] District Master),Key Terms Identified in LCAP,Total GO Bonds and Parcel Taxes Attempted (2010 - 2029),Total GO Bonds and Parcel Taxes Passed (2010 - 2029),Most Recent Passed GO Bond Measure Year (2010-2029),Total Amount of GO Bond Measure Funding ($) (2010-2029),2024_election_bond_language,2023_election_bond_language,2022_election_bond_language,2021_election_bond_language,2020_election_bond_language,2019_election_bond_language,2018_election_bond_language,2017_election_bond_language,2016_election_bond_language,2015_election_bond_language,2014_election_bond_language,2013_election_bond_language,2012_election_bond_language,2011_election_bond_language,2010_election_bond_language,Environmental and Climate Literacy and Action Overall Indicator Status (20 points)
15634380000000,15634380000000,Kern,Edison Elementary,Elementary School District,K-8,1106,2,8,Rural,49.6,48.2,Neutral,54.8,42.4,Neutral,$72203.78,$55490.56,21,35.35,$18766.50,2,69.78%,25.50,89.60,63.38,0,No Funding,,,N/A,0,N/A,N/A,1,1,2018,$16000000.00,,,"November 8, 2022: To modernize and upgrade outdated District facilities, construct new District facilities, including joint-use fields, a community services center for District and community use, a new school site, and qualify for state funding, shall Edison School District issue $3,400,000 in bonds, at legal rates, raising an annual average of $263,000 at approximately $30 per $100,000 of assessed valuation while bonds are outstanding, with independent oversight, audits, no money for administrators' salaries/pensions, and all funds remaining local?",,,,,,,,,,,,,5.50
15751680000000,15751680000000,Kern,El Tejon Unified,Unified School District,K-12,700,4,8,Rural,59.3,38.5,Neutral,62.9,34.9,Mildly Republican,$76878.17,$61117.17,20,20.37,$20232.96,3,44.42%,11.43,81.57,80.57,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,"June 5, 2018: To improve the quality of education; make health and safety improvements; modernize outdated classrooms, restrooms and school facilities; and improve student access to modern technology; shall El Tejon Unified School District issue $16,000,000 of bonds at legal rates, averaging $900,000 annually as long as bonds are outstanding at a rate of approximately 5.7 cents per $100 assessed value, with annual audits, an independent citizens' oversight committee, NO money for salaries, and funding that cannot be taken by the State?",,,,,,,,,4.50
15634460000000,15634460000000,Kern,Elk Hills Elementary,Elementary School District,K-8,159,1,8,Rural,77.9,21.2,Mildly Republican,83.1,13.6,Strongly Republican,$78759.00,$65969.00,18,30.50,$18214.53,1,95.82%,6.92,74.84,62.26,0,No Funding,,,N/A,0,N/A,N/A,2,0,,$0.00,,,,,,,,,,,,,,,,2.50
15634610000000,15634610000000,Kern,Fairfax Elementary,Elementary School District,K-8,2666,4,8,Suburban,36.6,60.7,Mildly Democratic,45.9,51.0,Neutral,$68110.67,$52400.45,22,29.38,$17427.39,4,68.20%,32.63,97.94,97.82,0,No Funding,,,N/A,0,N/A,N/A,2,0,2016,$43800000.00,,,,,,,,,"June 7, 2016: To acquire property and build a new elementary school to relieve overcrowding; improve school safety/security; and repair, renovate, update, construct, acquire classrooms, labs, sites, facilities, equipment and instructional technology to support student achievement in math, science and technology and better prepare K-8 students for success in high school, college and careers, shall Fairfax Elementary School District issue $19 million in bonds at legal rates, with independent citizen oversight, no administrator salaries, and all funds benefitting Fairfax schools?",,,,,,"November 2, 2010: To improve learning and safety in neighborhood schools and qualify for state matching funds, shall Fairfax School District rehabilitate/replace aging school safety, heating, ventilation, roofing, plumbing, electrical and building systems; upgrade classroom technology and school libraries; build a new school to relieve overcrowding; and renovate, acquire, construct and equip schools; by issuing $24.8 million of bonds at legal interest rates, with mandatory audits, citizens' overisght, and no administrators' salaries and all funds benefiting Fiarfax schools?",6.50
15634790000000,15634790000000,Kern,Fruitvale Elementary,Elementary School District,K-8,3055,5,8,Urban,66.3,31.6,Mildly Republican,69.9,28.1,Mildly Republican,$114121.73,$96885.60,22,16.60,$15188.06,5,45.20%,6.94,71.65,65.56,0,No Funding,,,N/A,0,N/A,N/A,3,2,2024,$59000000.00,"November 5, 2024: To repair/replace deteriorating roofs/plumbing/electrical systems; improve safety/security systems and disability access; remove asbestos and lead pipes; upgrade older classrooms, labs, school facilities to support student achievement in math, science engineering, arts and technology; shall Fruitvale School District's measure authorizing $36,000,000 in bonds at legal rates be adopted, levying average rates of 3¢ per $100 assessed value (estimated $2,000,000 annually) while bonds are outstanding, with citizen oversight, annual audits, and all money locally controlled?",,,,,,,,"November 8, 2016: In order to repair aging, outdated classrooms and school buildings; upgrade classrooms, labs, and computer systems to keep pace with instructional technology; improve student safety and campus security, and provide students access to the education, technology and facilities they need to succeed in high school, college and careers, shall the Fruitvale School District issue $23 million in bonds at legal interest rates, with citizen oversight, no money for administrator salaries, and all money locally-controlled?",,,,,,,5.00
15634870000000,15634870000000,Kern,General Shafter Elementary,Elementary School District,K-8,168,1,8,Rural,62.8,35.9,Mildly Republican,72.4,25.9,Mildly Republican,$85531.43,$72335.71,17,39.90,$21930.27,1,80.02%,26.19,91.07,88.69,0,No Funding,,,N/A,0,N/A,N/A,2,1,2016,$7500000.00,,,,,,,,,"November 8, 2016: To continue to provide high quality education by acquiring, constructing, furnishing, and equipping a new multi-purpose room, and by repairing, renovating, replacing, and redesigning school district facilities, shall the General Shatter School District issue $7,500,000 in bonds at legal interest rates, with no money for administrators' salaries, all funds benefitting General Shafter School District students, specific citizen oversight, and annual independent audits?",,,,,,,2.00
15635030000000,15635030000000,Kern,Greenfield Union,Elementary School District,K-8,8860,13,8,Urban,37.3,60.2,Mildly Democratic,47.7,49.6,Neutral,$79252.44,$65187.68,21,27.60,$16662.08,13,67.14%,22.63,94.82,93.95,0,No Funding,,,N/A,0,N/A,N/A,3,3,2024,$65000000.00,"November 5, 2024: In repair/improve aging neighborhood schools; fix deteriorating roofs, plumbing, electrical, infrastructure; remove asbestos and lead pipes; improve school safety and security systems; construct/upgrade school facilities/classrooms to support student achievement in science, math, literacy, and technology shall the Greenfield Union School District measure authorizing $25,000,000 in bonds at legal rates be adopted, levying approximately 36 per $100 assessed value (averaging $2,000,000 annually) while bonds are outstanding, with citizen oversight, independent audits, and all money staying local?",,,,"November 3, 2020: In order to construct/upgrade classrooms, science labs, and school facilities to relieve overcrowding and support student achievement in math, science, engineering, reading, arts, and technology; improve student safety/security, install intruder protection systems; remove asbestos/lead pipes; repair roofs/plumbing/electrical, shall the Greenfield Union School District measure authorizing $21,000,000 in bonds at legal rates be adopted, levying 3 cents/$100 assessed value ($1,300,000 annually) while bonds are outstanding, with independent citizen oversight/all money staying local?",,,,"November 8, 2016: To build a new local elementary school to reduce overcrowding at existing Greenfield schools; repair deteriorating roofs, plumbing, electrical and ventilation systems; improve school safety/security; and upgrade classrooms, labs, facilities, and instructional technology to support student achievement in reading, math, science and technology; shall Greenfield Union School District issue $19,000,000 in bonds at legal interest rates, with independent citizen oversight, no money for administrator salaries/pensions, and all funds dedicated locally to Greenfield Union K-8 schools?",,,,,,,8.50
15635290000000,15635290000000,Kern,Kern High,High School District,9-Adult,43237,27,8,Urban,53.2,44.6,Neutral,59.1,38.4,Neutral,$88669.43,$70964.42,25,30.07,$17987.58,24,57.16%,9.49,79.03,78.40,0,No Funding,,,N/A,0,N/A,N/A,3,3,2024,$455000000.00,,,"November 8, 2022: To update local schools with funds that cannot be taken by the State, shall Kern High School District's measure to expand vocational training centers; retrofit/construct schools and classrooms including math, science, and engineering labs; and improve classroom security, technology, and internet access be adopted, authorizing $160 million of bonds with legal rates, levies averaging $19/$100,000 of assessed valuation (averaging $16 million/year through 2038), annual audits, independent citizen oversight and no increase in current taxes?",,,,,,"November 8, 2016: To repair leaky roofs, aging plumbing, and fire/earthquake safety systems; construct and equip new classrooms and schools; expand and build career training centers for vocational education, agriculture, and biotech; and qualify for State matching funds, shall Kern High School District issue $280 million in bonds with interest rates below legal limits, independent financial audits, citizens' oversight, and all funds spent locally and not taken by the State and spent elsewhere?",,,,,,,10.00
15635450000000,15635450000000,Kern,Kernville Union Elementary,Elementary School District,K-8,764,3,8,Rural,67.3,30.7,Mildly Republican,69.1,28.9,Mildly Republican,$56043.14,$42144.00,19,47.13,$21096.48,3,40.16%,2.09,84.29,84.29,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,6.00
15635520000000,15635520000000,Kern,Lakeside Union,Elementary School District,K-8,1694,2,8,Urban,50.3,47.7,Neutral,58.1,39.5,Neutral,$106376.36,$92559.36,29,35.05,$12246.96,2,69.89%,16.77,71.31,64.99,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,1.75
15635600000000,15635600000000,Kern,Lamont Elementary,Elementary School District,K-8,2561,4,8,Suburban,28.3,69.5,Mildly Democratic,41.9,55.2,Neutral,$60559.29,$44990.33,20,24.03,$17509.75,4,74.26%,48.97,87.86,55.17,1,Both Direct and Lumped Funding,$165000,$200000,"Education Fieltrips, including environmental education among other subjects are awarded $200,000 by the district. - Pg 51 6th grade outdoor learning specifically is awarded $165,000 - Pg 51",1,"Mention of edicational field trips, including environmental educaiton field trips. Pg. 8 The $200,000 is for all grade levels and covers field trips including environmental education. 6th grade students specifically attended hands-on environmental program at Camp Keep for low socio-economic students, foster youth, and English learners. - Pg 51-52","Environmental Education, hands-on environmental educaiton",0,0,,$0.00,,,,,,,,,,,,,,,,3.50
15635860000000,15635860000000,Kern,Linns Valley-Poso Flat Union,Elementary School District,K-8,22,1,8,Rural,76.5,21.3,Mildly Republican,71.0,27.5,Mildly Republican,$78437.40,$52852.40,12,57.90,$49717.18,1,49.93%,0.00,72.73,72.73,0,No Funding,,,N/A,0,N/A,N/A,1,1,2016,$7000000.00,,,,,,,,,,,,,,,,2.00
15635940000000,15635940000000,Kern,Lost Hills Union Elementary,Elementary School District,K-8,291,2,8,Rural,32.4,65.2,Mildly Democratic,41.4,55.6,Neutral,$96110.83,$81177.17,20,12.10,$30242.44,2,63.62%,47.42,99.66,95.88,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,"November 8, 2016: To improve Lost Hills schools, replace old portable classrooms, upgrade the science room, expand library, fix cracks in the foundation of some buildings, make other repairs to roofing, plumbing, painting, restrooms, the parking lot and ADA accessibility, and improve student support facilities, shall Lost Hills Union School District issue $7,000,000 in local bonds, at legal rates, to renovate, construct and acquire schools, sites, equipment and facilities, with independent audits, citizens' oversight, no money for administrators, and all money staying local?",,,,,,,5.00
15636100000000,15636100000000,Kern,Maple Elementary,Elementary School District,K-8,287,1,8,Rural,77.6,21.7,Mildly Republican,77.3,18.2,Mildly Republican,$105172.25,$71125.67,29,7.40,$15127.32,1,83.84%,5.57,60.98,60.28,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,,,,,,,,,,6.00
15636280000000,15636280000000,Kern,Maricopa Unified,Unified School District,TK-12,15700,8,8,Rural,66.6,31.1,Mildly Republican,66.9,30.9,Mildly Republican,$89621.33,$75195.50,31,35.03,$24544.17,3,64.17%,2.61,46.12,35.07,0,No Funding,,,N/A,0,N/A,N/A,4,2,2020,$55000000.00,,,,,,,,,,,,,,,,4.00
15739080000000,15739080000000,Kern,McFarland Unified,Unified School District,K-Adult,3282,7,8,Town,37.4,60.5,Mildly Democratic,48.7,48.5,Neutral,$72401.80,$55299.70,23,32.77,$16951.41,7,72.58%,31.02,90.13,42.84,0,No Funding,,,N/A,0,N/A,N/A,5,2,2016,$19100000.00,,,,,"March 3, 2020: To modernize/construct classrooms, restrooms/school facilities to improve the quality of education; repair/replace roofs; construct multi-purpose room/cafeteria at McFarland High; repair, construct, acquire classrooms, sites/equipment, shall the McFarland Unified School District measure be adopted to issue $30,000,000 of bonds at legal rates, levy on average $5.1 cents per $100 assessed value, generating approximately $1,850,000 annually while bonds are outstanding, with annual audits, independent citizens' oversight, NO money for salaries, all money staying local?",,,,,,,,"November 6, 2012: To reduce student overcrowding, acquire, construct and improve new and existing classrooms, support facilities and new elementary school, expand high school facilities, upgrade vocational education facilities to better prepare students for the workforce, and make improvements to save money better spent in the classroom, shall the McFarland Unified School District be authorized to issue $25,000,000 in bonds at legal interest rates, with an independent Oversight Committee, annual audits and NO money for administrator salaries?",,,6.50
15636510000000,15636510000000,Kern,McKittrick Elementary,Elementary School District,K-8,61,1,8,Rural,74.5,23.5,Mildly Republican,44.5,52.7,Neutral,$88874.50,$82361.50,12,18.50,$24867.83,0,80.45%,1.64,39.34,31.15,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,4.50
15636690000000,15636690000000,Kern,Midway Elementary,Elementary School District,K-8,65,1,8,Rural,74.3,23.3,Mildly Republican,76.4,21.9,Mildly Republican,$96823.67,$90427.67,10,23.30,$23189.21,1,62.81%,4.62,53.85,47.69,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,6.00
15636770000000,15636770000000,Kern,Mojave Unified,Unified School District,K-Adult,2904,7,8,Town,56.1,41.0,Neutral,59.9,37.1,Neutral,$79636.73,$61600.09,22,62.23,$18389.62,6,39.12%,15.94,86.43,82.92,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,"November 4, 2014: To improve the quality of education for California City students, modernize infrastructure and classroom technology, improve heath and safety, and repay leases used to build Cal City High in order to reduce operating costs and put more money in the classroom, shall the Mojave Unified School District School Facilities Improvement District No. 1 be authorized to issue up to $8,100,000 in bonds at legal interest rates, with annual audits, a Citizen's Oversight committee, and no money for salaries?",,,,,3.00
15636850000000,15636850000000,Kern,Muroc Joint Unified,Unified School District,K-Adult,1803,6,8,Rural,62.9,33.2,Mildly Republican,65.7,31.2,Mildly Republican,$74442.80,$53372.00,20,37.98,$16942.50,2,40.75%,0.61,31.78,17.30,0,No Funding,,,N/A,0,N/A,N/A,2,2,2022,$42000000.00,,,"June 7, 2022: To improve and repair facilities at Boron Schools, enhance student safety/security systems, acquire/construct/renovate District facilities, classrooms, and equipment, update heating/ air conditioning systems, make health/safety improvements, and improve student access to technology, shall this Muroc Joint Unified School District measure authorizing $21,000,000 of bonds at legal rates, levying 4.9� per $100 of assessed value (averaging $1,140,000 annually) while bonds are outstanding, be adopted with annual audits, independent citizens' oversight and NO money for administrative salaries?�",,,,,,"November 8, 2016: To repair and upgrade facilities at Boron Schools, improve the quality of education with funding that cannot be taken by the State, replace leaky roofs, modernize/cosntruct/renovate outdated classrooms, restrooms, and other school facilities, replace heating/air conditioning systems, make health and safety improvements, and improve student access to modern technology, shall the Muroc Joint Unified School District issue $21,000,000 of bonds at legal rates, with annual audits, independent citizens' oversight committee and NO money for administrative L187salaries?",,,,,,,4.00
15636930000000,15636930000000,Kern,Norris Elementary,Elementary School District,K-8,4153,5,8,Urban,69.5,28.6,Mildly Republican,71.1,26.9,Mildly Republican,$131291.31,$118609.23,24,12.94,$12405.71,4,55.44%,5.01,41.51,38.31,0,No Funding,,,N/A,0,N/A,N/A,1,1,2012,$149000000.00,,,,,,,,,,,,,"June 5, 2012: To protect quality education in core subjects like math/science/reading/ writing with funding the State cannot take away, shall Norris School District prevent campus overcrowding by improving and expanding elementary/middle school classrooms/facilities; update science labs/ libraries/ computers/technology; and free up funds to attract/retain teachers, by issuing $149 million in bonds at legal rates, with independent oversight, no money for administrators, and all funds staying local?",,,4.50
15633620000000,15633620000000,Kern,Panama-Buena Vista Union,Elementary School District,K-8,19365,25,8,Urban,49.0,48.8,Neutral,55.9,41.6,Neutral,$105502.16,$85943.46,25,27.20,$16048.57,14,51.55%,13.56,79.08,77.38,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,"November 8, 2022: To repair deteriorating roofs, electrical and plumbing; improve school safety and security systems; remove asbestos/lead pipes; and construct/equip new classrooms, labs, and facilities to relieve overcrowding and support college/career readiness in science, math, reading, engineering, technology; shall Panama-Buena Vista School District's measure authorizing $99 million in bonds at legal rates be adopted, levying approximately 3 cents per $100 assessed value ($6 million annually) while bonds are outstanding, with citizen oversight and all money staying local?",,,,"November 6, 2018: To improve school safety and security, construct/equip new school facilities to relieve severe overcrowding, and repair/upgrade older classrooms, labs, facilities and instructional technology supporting student achievement/college readiness in math, science, engineering, technology, arts, shall Panama-Buena Vista Union School District issue $90 million in bonds, at legal rates, an estimated 3 cents per $100 assessed value (averaging $18 million annually) for approximately 20 years to improve neighborhood K-8 schools, with citizen oversight and all money locally controlled?",,,,,,"November 6, 2012: To protect the quality of education and enhance student learning in neighborhood elementary schools, shall Panama-Buena Vista Union School District modernize school technology, upgrade safety/security systems, improve energy efficiency, rehabilitate outdated classrooms, repair/replace deteriorated roofs, plumbing, electrical, lighting, ventilation, and acquire, construct, equip, and renovate sites, facilities, and equipment, by issuing $147,000,000 in bonds at legal interest rates, with independent citizen oversight, mandatory audits, no administrators' salaries/pensions, and all funds dedicated locally to Panama-Buena Vista Union School District K-8 schools?",,,3.00
15637190000000,15637190000000,Kern,Pond Union Elementary,Elementary School District,K-8,175,1,8,Rural,57.6,41.6,Neutral,53.1,43.8,Neutral,$72730.80,$54464.40,19,18.30,$20782.26,1,86.42%,18.86,96.00,94.86,0,No Funding,,,N/A,0,N/A,N/A,3,3,2022,$336000000.00,,,,,,,,,,,,,,,,3.50
15635780000000,15635780000000,Kern,Richland Union Elementary,Elementary School District,K-8,2490,5,8,Town,51.9,46.4,Neutral,61.7,35.6,Mildly Republican,$98096.25,$75462.14,15,30.42,$20189.97,4,81.77%,31.89,91.69,86.14,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,4.50
15735440000000,15735440000000,Kern,Rio Bravo-Greeley Union Elementary,Elementary School District,K-8,1057,3,8,Rural,73.3,25.0,Mildly Republican,71.6,26.4,Mildly Republican,$148754.00,$115852.33,22,20.85,$14921.98,2,78.88%,7.66,50.24,49.10,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,4.75
15637500000000,15637500000000,Kern,Rosedale Union Elementary,Elementary School District,K-8,6192,10,8,Urban,70.1,28.0,Mildly Republican,72.4,25.8,Mildly Republican,$144317.77,$120239.67,22,15.64,$12829.77,3,48.12%,5.12,42.64,38.55,0,No Funding,,,N/A,0,N/A,N/A,1,0,,$0.00,,,,,,,,,,,,,,,,5.00
15637680000000,15637680000000,Kern,Semitropic Elementary,Elementary School District,K-8,138,1,8,Rural,54.3,44.3,Neutral,53.5,42.8,Neutral,$56608.00,$46915.00,13,23.30,$28238.51,1,91.04%,54.35,82.61,54.35,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,0.00
15737420000000,15737420000000,Kern,Sierra Sands Unified,Unified School District,TK-Adult,4974,10,8,Town,61.7,34.2,Mildly Republican,62.7,34.1,Mildly Republican,$83657.53,$65858.38,21,33.13,$15486.32,7,37.98%,5.89,59.95,55.63,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,"November 5, 2024: To retain teachers/ maintain quality local schools by upgrading older schools; ensuring school safety/ earthquake preparedness; fixing/replacing leaky roofs, windows, plumbing; updating science, technology, engineering, math classrooms; qualifying for United States Department of Defense matching funds, shall Sierra Sands Unified School District's measure be adopted issuing $42,000,000 in bonds at limited interest rates, levying 6¢ per $100 assessed valuation ($3,100,000 annually) while bonds are outstanding, no money for administrators' salaries, requiring audits/ citizens oversight, all funds staying local?",,,,,,,,,,,,,,,4.25
15637840000000,15637840000000,Kern,South Fork Union,Elementary School District,K-8,347,1,8,Rural,70.9,27.4,Mildly Republican,70.4,27.6,Mildly Republican,$60795.25,$48958.00,27,34.50,$16249.10,1,36.68%,2.59,78.96,78.96,1,Direct Funding,$5000,,"District allocates $5,000 for annual Camp Keep transportation. - Pg 18",1,"District supports the attendance of annual week long experience of  natural environment in order to increase awareness of natrual world and develop a better understanding of the next generation of science standards at CAMP Keep. Pg. 37 Mention of continued participation in Kern Environmental Educational Program, but no mention of specifics or funding. Pg. 38",Environmental Education,0,0,,$0.00,,,,,,,,,,,,,,,,6.50
15637760000000,15637760000000,Kern,Southern Kern Unified,Unified School District,TK-Adult,3636,6,8,Town,57.2,39.7,Neutral,58.8,38.5,Neutral,$89478.40,$77952.10,22,44.70,$16558.86,6,42.09%,14.30,81.24,70.79,1,Direct Funding,$200000,,"District allocates $200,000 for annual Camp Keep trip. - Pg 39",1,"Camp Keep is an overnight outdoor science program which provides hands on learning experiences for students. - Pg 40 Many of the district's low-income and foster youth do not have access to enrichment opportunities, especially in science and outdoor education. This program enables their low-income, English learners and Foster youth to participate in classes that go beyond core curriculum, and helps students feel connected to the school. Aims to improve educational experience. - Pg 84","Hands on learning experiences, outdoor education, enrichment opportunities",1,1,2024,$59000000.00,"November 5, 2024: To upgrade science, technology, engineering, arts and math classrooms, repair leaky roofs, improve student safety/security, build a new school to reduce overcrowding, improve vocational/career classrooms, renovate plumbing, fire safety and electrical systems, remove asbestos and ensure clean drinking water, shall Southern Kern Unified School District’s measure be adopted authorizing $59,000,000 in bonds at legal rates, $60 per $100,000 assessed value, raising $3,910,000 annually while bonds are outstanding, with independent audits, citizen oversight, and all money controlled locally?",,,,,,,,,,"November 4, 2014: To construct a new elementary school, provide modern classrooms and career technical/support facilities at Rosamond High, construct new libraries and science labs, replace outdated portables with modern classrooms and technology throughout the District, improve student safety, and qualify for up to $44 million in State matching grants, shall the Southern Kern Unified School District be authorized to issue $28.4 million in bonds at legal interest rates, with annual audits, a Citizen's Oversight Committee, and no money for administrative salaries?",,,,,5.50
15637920000000,15637920000000,Kern,Standard Elementary,Elementary School District,K-8,3187,4,8,Suburban,70.2,27.4,Mildly Republican,69.1,28.8,Mildly Republican,$62097.00,$47295.18,22,47.18,$17573.27,4,73.63%,8.88,90.37,89.55,1,Direct Funding,$91861,,"District allocates $46,900 for the attendance of the anual Camp Keep trip. - Pg 41 District also allocated $44,961.52 for an edible school yard and garden specialist. - Pg 41 ",1,"District supports the attendance of annual Camp Keep trip for 6th graders to further environmental studies. (Part of Study Trips) - Pg 41 Implementing study trips for students across all grade levels addresses the needs of their students by offering enriching educational experiences outside the classroom. These trips provide opportunities to explore new environments, cultures, and learning contexts, enhancing academic knowledge and personal growth. By exposing students to diverse settings and experiences, study trips help bridge educational gaps and promote equity. Additionally, these trips foster community partnerships and collaboration between schools, families, and local organizations, reinforcing the ditrstict's commitment to holistic student development and community invovlemenet with the goal of increasing overall student engagement. - Pg 66-67 District also aims to  establish an Edible School Yard program at all schools, promoting hands on learning, environmental stewardship and healthy eating habits. Includes hiring part-time Garden specialist. Furthermore, funds are also allocated to purchase materials and equipment to sustain garden. - Pg 41","Environmental Education, hands on learning education, sustainable garden, healthy eating habits",0,0,,$0.00,,,,,,,,,"November 8, 2016: To repair and modernize local elementary classrooms and school facilities, including repairing deteriorated roofs, plumbing, electrical and ventilation systems; improve school safety; add new classrooms; and acquire, renovate, construct, equip classrooms, sites/facilities to reduce overcrowding and support student achievement in reading, math, science and technology, shall Standard School District issue $33,000,000 in bonds at legal interest rates, with independent citizen oversight, no money for administrator salaries, and all funds dedicated locally to Standard School District neighborhood K-8 schools?",,,,"November 6, 2012: To renovate, modernize and construct classrooms / facilities at Highland, Standard, and Wingland Elementary and Standard Middle; upgrade heating, ventilation, airconditioning systems; and reduce borrowing costs, shall $11,200,000 of Standard School District bonds, approved by voters in June 2006, be reauthorized through issuance of new bonds, with no increase in total authorized District debt, interest rates below legal limits, independent citizen oversight, no money for administrator salaries, and all funds spent locally and not taken by the State?",,,3.00
15638000000000,15638000000000,Kern,Taft City,Elementary School District,K-8,2404,6,8,Town,77.0,20.9,Mildly Republican,78.6,19.7,Mildly Republican,$79845.33,$69533.83,22,18.22,$14130.94,6,63.05%,43.14,91.06,85.57,1,Direct Funding,$5600,,"District allocates $5,600 to sponsor select students to attend Camp Keep - Pg 33",1,"District sponsors 20 low income students, 3 counselors, and 1 teacher from Lincoln Jr. High School to attend camp Keep, which is an outdoor science education and conservation program. - Pg 33 Given rural location, District acknowledfges that families must travel to experience cultural events. Educational partners, including parents and educators have empasized the value of experimental learning opportunities like Camp KEEP to ehnance students' understanding of environmental science, foster a connection with nature, and support their overall academic and personal growth. - Pg 92","Environmental Science, connection with nature",1,0,,$0.00,,,,,,,,,,,,,"June 5, 2012: To improve the quality of education; repair leaky roofs; increase student access to computers and modern technology; replace old heating, ventilation, and airconditioning systems; modernize outdated classrooms, restrooms and school facilities; replace old plumbing systems; and make health and safety improvements; shall the Taft City Elementary School District issue $23,600,000 of bonds at legal interest rates, have an independent citizens' oversight committee and have NO money taken by the State or used for administrative salaries?",,,4.50
15638180000000,15638180000000,Kern,Taft Union High,High School District,9-12,1149,2,8,Town,76.5,21.4,Mildly Republican,76.8,21.4,Mildly Republican,$76705.75,$65712.38,20,43.40,$24561.18,2,70.68%,19.58,83.64,82.68,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,4.00
15638260000000,15638260000000,Kern,Tehachapi Unified,Unified School District,K-Adult,4156,7,8,Town,69.4,28.2,Mildly Republican,69.5,28.3,Mildly Republican,$101638.60,$83327.40,23,40.96,$15893.86,3,35.56%,5.17,46.44,23.70,0,No Funding,,,N/A,0,N/A,N/A,1,1,2014,$28400000.00,,,,,,,,,,,,,,,,4.50
15638340000000,15638340000000,Kern,Vineland Elementary,Elementary School District,K-8,637,2,8,Rural,31.3,66.5,Mildly Democratic,40.5,56.6,Neutral,$52637.14,$41861.71,19,22.40,$21489.38,2,68.29%,55.57,100.00,99.69,0,No Funding,,,N/A,0,N/A,N/A,1,1,2016,$33000000.00,,,,,,,,,,,,,,,,6.00
15638420000000,15638420000000,Kern,Wasco Union Elementary,Elementary School District,K-8,3474,7,8,Town,44.3,53.4,Neutral,52.9,43.8,Neutral,$84207.30,$61690.11,22,22.83,$20161.67,6,81.27%,29.36,91.80,90.73,0,No Funding,,,N/A,0,N/A,N/A,1,1,2012,$23600000.00,,,,,,,,,"June 7, 2016: To improve the quality of education with funding that cannot be taken by the state, make health and security improvements; modernize/provide classrooms, restrooms and school facilities, including classrooms for science, math, reading and writing; construct new school to reduce student overcrowding, including land acquisition; and improve access to computers and technology shall the Wasco Union Elementary School District issue $9,700,000 of bonds at legal rates, with independent citizens' oversight committee, annual audits, and NO money for administrative salaries? June 7, 2016: To improve the quality of education with funding that cannot be taken by the state; repair/replace leaky roofs; improve student safety at drop-off/pick-up areas; replace outdated portable classrooms; construct a library/media center, and multi-purpose room/gym for school/community use; and construct/modernize student support facilities, and classrooms for alternative education shall Wasco Union Elementary School District issue $9,400,000 of bonds at legal rates, with citizens' oversight committee, annual audits, and NO money for administrative salaries?",,,,,,,6.00
